IMEITAC_01	rule_cat1	IMEITAC_01.rule_name	NA	NA	IMEITAC_01.message_soc	IMEITAC_01.message_cc	IMEITAC_01.message_cclite	TBD
UGM_01	Group Maper	Assign the 'gold' user group to users	\N	\N	\N	\N	\N	\N
UGM_DEFAULT	Group Maper	Assign the 'default' user group to users	\N	\N	\N	\N	\N	\N
